요일,법규위반,가해운전자차종,가해운전자성별,가해운전자상해정도,피해운전자상해정도,가해운전자연령,피해운전자차종,피해운전자성별,피해운전자연령,노면상태,기상상태,cleanedAdress,X,Y,사고연도,사고월,사고일,사고시각,사고대분류,사고중분류,사고소분류,도로형태_대,도로형태_중,D.법규위반.과속,D.법규위반.교차로운행방법위반,D.법규위반.기타,D.법규위반.보행자보호의무위반,D.법규위반.불법유턴,D.법규위반.신호위반,D.법규위반.안전거리미확보,D.법규위반.중앙선침범,D.법규위반.직진우회전진행방해,D.법규위반.차로위반,D.노면상태.결빙,D.노면상태.기타,D.노면상태.서리결빙,D.노면상태.습기,D.노면상태.적설,D.노면상태.젖음습기,D.기상상태.기타,D.기상상태.눈,D.기상상태.비,D.기상상태.안개,D.기상상태.흐림,D.가해운전자차종.개인형이동수단PM,D.가해운전자차종.건설기계,D.가해운전자차종.기타불명,D.가해운전자차종.농기계,D.가해운전자차종.사륜오토바이ATV,D.가해운전자차종.승합,D.가해운전자차종.원동기,D.가해운전자차종.이륜,D.가해운전자차종.자전거,D.가해운전자차종.특수,D.가해운전자차종.화물,D.가해운전자성별.기타불명,D.가해운전자성별.여,D.피해운전자차종.공란,D.피해운전자차종.개인형이동수단PM,D.피해운전자차종.건설기계,D.피해운전자차종.기타불명,D.피해운전자차종.농기계,D.피해운전자차종.미분류,D.피해운전자차종.보행자,D.피해운전자차종.사륜오토바이ATV,D.피해운전자차종.승합,D.피해운전자차종.원동기,D.피해운전자차종.이륜,D.피해운전자차종.자전거,D.피해운전자차종.특수,D.피해운전자차종.화물,D.피해운전자성별.공란,D.피해운전자성별.기타불명,D.피해운전자성별.미분류,D.피해운전자성별.여,D.사고대분류.차대사람,D.사고대분류.차량단독,D.사고중분류.공작물충돌,D.사고중분류.기타,D.사고중분류.길가장자리구역통행중,D.사고중분류.도로외이탈,D.사고중분류.보도통행중,D.사고중분류.전도전복,D.사고중분류.정면충돌,D.사고중분류.차도통행중,D.사고중분류.측면직각충돌,D.사고중분류.측면충돌,D.사고중분류.횡단중,D.사고중분류.후진중충돌,D.도로형태_대.기타,D.도로형태_대.단일로,D.도로형태_대.미분류,D.도로형태_대.주차장,D.도로형태_중.고가도로위,D.도로형태_중.교량,D.도로형태_중.교차로안,D.도로형태_중.교차로횡단보도내,D.도로형태_중.기타,D.도로형태_중.미분류,D.도로형태_중.주차장,D.도로형태_중.지하차도내,D.도로형태_중.터널,D.도로형태_중.횡단보도부근,D.도로형태_중.횡단보도상,인명피해 심각도,사망자수,중상자수,경상자수,부상신고자수
수요일,안전운전불이행,승용,남,상해없음,상해없음,72,승용,남,53,건조,맑음,충청남도 천안시 서북구 직산읍,127.1504255,36.88987324,2017,2,1,16,차대차,추돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
토요일,기타,이륜,남,사망, ,72, , , ,건조,맑음,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014,2016,10,15,20,차량단독,공작물충돌,없음,단일로,기타,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,0,0,0
금요일,안전운전불이행,화물,남,상해없음,중상,70,승용,남,35,젖음/습기,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2017,2,10,8,차대차,측면충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0
목요일,보행자보호의무위반,승용,남,상해없음,중상,68,보행자,여,64,건조,맑음,충청남도 천안시 동남구 대흥동,127.1474807,36.80805836,2017,4,20,14,차대사람,횡단중,없음,교차로,교차로안,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
금요일,안전운전불이행,화물,남,상해없음,중상,68,이륜,남,57,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2016,10,28,19,차대차,정면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
월요일,안전운전불이행,승용,남,상해없음,경상,72,승용,남,25,건조,맑음,충청남도 천안시 동남구 삼룡동,127.175151,36.77999845,2016,11,28,10,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
월요일,안전운전불이행,승용,남,상해없음,경상,67,승용,여,58,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2017,1,2,17,차대차,측면충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
일요일,안전운전불이행,승용,남,상해없음,경상,70,승용,여,53,건조,맑음,충청남도 천안시 동남구 병천면,127.3037955,36.79178618,2017,4,9,7,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,안전운전불이행,화물,남,상해없음,경상,69,자전거,여,74,건조,맑음,충청남도 천안시 서북구 입장면,127.2256147,36.9142991,2016,8,12,13,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
토요일,신호위반,승용,남,상해없음,경상,67,화물,남,30,건조,맑음,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014,2017,3,4,15,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,1,0
월요일,안전거리미확보,승용,남,상해없음,상해없음,72,승용,남,54,건조,맑음,충청남도 천안시 서북구 불당동,127.1068427,36.80893574,2016,11,14,13,차대차,추돌,없음,단일로,기타,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
수요일,신호위반,승용,남,상해없음,중상,72,보행자,여,68,건조,맑음,충청남도 천안시 동남구 신부동,127.1643944,36.82567846,2017,3,8,18,차대사람,횡단중,없음,단일로,기타,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
목요일,안전운전불이행,승용,남,상해없음,경상,78,승용,여,26,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2017,1,19,18,차대차,후진중충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
화요일,신호위반,승용,남,경상,상해없음,65,화물,여,33,건조,맑음,충청남도 천안시 동남구 삼룡동,127.175151,36.77999845,2017,6,27,10,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
월요일,중앙선침범,승용,남,상해없음,경상,72,승용,남,47,건조,맑음,충청남도 천안시 동남구 성황동,127.1520949,36.81467149,2016,11,28,17,차대차,추돌,없음,단일로,기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
화요일,직진우회전진행방해,승용,남,상해없음,경상,72,승용,여,33,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2016,12,13,20,차대차,측면직각충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
월요일,중앙선침범,승용,남,상해없음,부상신고,66,승용,남,30,건조,맑음,충청남도 천안시 서북구 백석동,127.1139785,36.82707391,2017,1,2,18,차대차,측면충돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토요일,보행자보호의무위반,화물,남,상해없음,중상,69,보행자,여,77,건조,맑음,충청남도 천안시 동남구 구성동,127.1705605,36.79706163,2017,2,11,18,차대사람,횡단중,없음,교차로,교차로횡단보도내,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0
화요일,교차로운행방법위반,승용,여,상해없음,중상,71,승용,남,28,건조,맑음,충청남도 천안시 서북구 차암동,127.1115227,36.84830047,2016,9,13,15,차대차,기타,없음,기타,기타,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
월요일,안전운전불이행,이륜,남,상해없음,경상,65,보행자,남,7,건조,맑음,충청남도 천안시 서북구 와촌동,127.1443816,36.80938883,2016,12,12,17,차대사람,횡단중,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
수요일,안전운전불이행,승용,남,상해없음,경상,79,보행자,남,39,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2017,4,19,10,차대사람,횡단중,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,1
일요일,안전운전불이행,승용,남,상해없음,중상,74,원동기,남,16,건조,맑음,충청남도 천안시 동남구 원성동,127.1613401,36.80809978,2017,4,9,19,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,1,3,0
월요일,안전운전불이행,승용,여,상해없음,경상,67,승용,남,62,건조,맑음,충청남도 천안시 서북구 직산읍,127.1504255,36.88987324,2017,1,9,13,차대차,기타,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
일요일,안전운전불이행,승용,남,중상,중상,68,승용,남,44,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2016,9,18,11,차대차,측면직각충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,3,0,0
금요일,교차로운행방법위반,승용,남,상해없음,경상,66,승용,남,49,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2016,11,25,1,차대차,측면직각충돌,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0
월요일,안전운전불이행,승용,남,상해없음,중상,70,보행자,남,68,젖음/습기,맑음,충청남도 천안시 서북구 성거읍,127.1914337,36.87689576,2017,2,13,18,차대사람,차도통행중,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
월요일,직진우회전진행방해,승용,남,상해없음,중상,65,승용,남,64,건조,맑음,충청남도 천안시 동남구 청당동,127.1530119,36.78120252,2017,1,30,18,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
토요일,신호위반,이륜,남,사망,기타불명,66,건설기계,남,42,건조,맑음,충청남도 천안시 동남구 풍세면,127.122656,36.73720911,2017,3,11,15,차대차,정면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0
일요일,안전거리미확보,승용,남,상해없음,중상,72,이륜,남,47,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2016,10,9,11,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
목요일,신호위반,승합,남,상해없음,경상,65,승용,여,62,건조,맑음,충청남도 천안시 서북구 신당동,127.1579927,36.85758716,2017,1,26,8,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
일요일,교차로운행방법위반,승용,남,상해없음,경상,68,승용,남,55,건조,맑음,충청남도 천안시 서북구 입장면,127.2256147,36.9142991,2017,5,21,7,차대차,측면충돌,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0
화요일,안전운전불이행,승용,여,상해없음,중상,67,승용,여,27,건조,맑음,충청남도 천안시 동남구 원성동,127.1613401,36.80809978,2017,5,9,14,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
금요일,신호위반,승용,남,상해없음,경상,68,승용,여,60,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2017,5,26,9,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,1,0
금요일,안전운전불이행,승용,남,상해없음,경상,68,승용,남,47,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2017,3,31,20,차대차,추돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0
월요일,안전운전불이행,승용,남,상해없음,경상,69,승용,여,38,건조,맑음,충청남도 천안시 동남구 광덕면,127.0869169,36.6710256,2017,1,2,11,차대차,추돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,안전운전불이행,승용,남,상해없음,경상,74,보행자,남,23,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2016,10,14,9,차대사람,길가장자리구역통행중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
목요일,중앙선침범,건설기계,남,상해없음,상해없음,68,승용,남,66,건조,맑음,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014,2017,3,16,9,차대차,정면충돌,없음,단일로,기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
토요일,안전운전불이행,승용,남,상해없음,경상,66,승용,남,32,건조,맑음,충청남도 천안시 서북구 두정동,127.1422611,36.83186824,2017,6,17,17,차대차,측면충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
토요일,안전운전불이행,승용,남,상해없음,상해없음,79,승용,남,32,건조,맑음,충청남도 천안시 서북구 백석동,127.1139785,36.82707391,2017,3,4,15,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0
화요일,신호위반,승용,남,경상,경상,69,승용,남,27,건조,맑음,충청남도 천안시 동남구 원성동,127.1613401,36.80809978,2017,2,14,16,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0
월요일,안전운전불이행,승용,남,상해없음,경상,67,승용,남,47,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2017,5,8,20,차대차,측면충돌,없음,주차장,주차장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,3,0
목요일,안전운전불이행,자전거,여,경상,상해없음,66,승합,남,53,건조,맑음,충청남도 천안시 서북구 성정동,127.1401007,36.81887228,2017,2,16,16,차대차,기타,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
수요일,안전운전불이행,승용,여,상해없음,경상,68,승용,남,33,건조,맑음,충청남도 천안시 동남구 청당동,127.1530119,36.78120252,2017,6,21,16,차대차,추돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
금요일,중앙선침범,화물,남,상해없음,경상,83,승용,남,35,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2017,6,9,18,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
토요일,안전운전불이행,승용,남,상해없음,중상,65,보행자,여,61,건조,맑음,충청남도 천안시 동남구 대흥동,127.1474807,36.80805836,2017,2,11,8,차대사람,횡단중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
금요일,안전운전불이행,승용,남,상해없음,경상,77,보행자,남,5,건조,맑음,충청남도 천안시 동남구 다가동,127.1490991,36.79533004,2017,5,5,21,차대사람,횡단중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
